tick;time_seconds;evacuated_count0;evacuated_count1;evacuated_count2;evacuated_count3;evacuated_count4;evacuated_count5;evacuated_count6;evacuated_count7;evacuated_count8;evacuated_count9;evacuated_count10;evacuated_count11;evacuated_count12;evacuated_count13;evacuated_count14;evacuated_count15;evacuated_count16;evacuated_count17;evacuated_count18;evacuated_count19;evacuated_count20;evacuated_count21;evacuated_count22;evacuated_count23;evacuated_count24;evacuated_count25;evacuated_count26;evacuated_count27;evacuated_count28;evacuated_count29;evacuated_count30;evacuated_count31;evacuated_count32;evacuated_count33;evacuated_count34;evacuated_count35;evacuated_count36;evacuated_count37;evacuated_count38;evacuated_count39;evacuated_count40;average;std
2973;1486,5;6,0;14,0;12,0;8,0;13,0;9,0;10,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,390243902439025;2,836177
2974;1487,0;6,0;14,0;12,0;9,0;13,0;9,0;10,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,414634146341463;2,819358
2975;1487,5;6,0;14,0;12,0;9,0;14,0;9,0;10,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,439024390243903;2,846478
2976;1488,0;6,0;14,0;12,0;9,0;14,0;9,0;10,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,439024390243903;2,846478
2977;1488,5;7,0;14,0;12,0;9,0;14,0;9,0;10,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,463414634146341;2,811561
2978;1489,0;7,0;14,0;12,0;9,0;14,0;9,0;11,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,487804878048781;2,811778
2979;1489,5;7,0;14,0;12,0;9,0;14,0;9,0;11,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,487804878048781;2,811778
2980;1490,0;7,0;14,0;12,0;9,0;14,0;9,0;11,0;19,0;13,0;10,0;8,0;9,0;7;14,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,487804878048781;2,811778
2981;1490,5;7,0;14,0;12,0;9,0;14,0;9,0;11,0;19,0;13,0;10,0;8,0;9,0;7;15,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;11,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,512195121951219;2,847121
2982;1491,0;7,0;14,0;12,0;9,0;14,0;9,0;11,0;19,0;13,0;10,0;8,0;10,0;7;15,0;9,0;8,0;5,0;10,0;8,0;14,0;11,0;11,0;12,0;11,0;11,0;9,0;12,0;13,0;12,0;11,0;12,0;9,0;11,0;9,0;11,0;9,0;9,0;16,0;9,0;4,0;9,0;10,560975609756097;2,846478
